,fluA,fluB,total.tested
107,1,2,NA
108,NA,NA,NA
109,1,2,32
110,6,1,52
111,NA,NA,81
112,3,1,68
113,4,3,51
114,5,3,87
115,2,1,75
116,9,1,47
117,5,4,206
118,17,12,298
119,12,6,436
120,11,6,482
121,14,4,434
122,11,4,191
123,8,4,115
124,8,7,315
125,17,14,445
126,10,7,392
127,11,3,301
128,5,9,265
129,6,NA,156
130,8,1,81
131,9,8,191
132,3,4,310
133,9,3,243
134,13,1,201
135,12,2,154
136,5,NA,85
137,1,3,65
138,5,2,67
139,6,2,116
140,8,1,172
141,6,NA,117
142,3,1,106
143,NA,NA,61
144,1,NA,43
145,8,1,89
146,5,NA,100
147,4,NA,84
148,6,NA,92
149,4,1,74
150,7,NA,53
151,2,NA,42
152,13,NA,91
153,10,2,106
154,8,NA,73
155,15,NA,92
156,14,NA,103
157,10,NA,51
158,5,NA,42
159,35,NA,87
160,38,NA,120
161,31,NA,119
162,42,NA,136
163,55,1,211
164,25,NA,110
165,24,1,96
166,54,NA,172
167,54,NA,202
168,53,NA,207
169,58,NA,178
170,53,NA,223
171,27,NA,93
172,24,NA,73
173,60,NA,182
174,53,1,191
175,49,NA,196
176,43,1,202
177,39,NA,176
178,24,NA,84
179,26,NA,97
180,34,NA,151
181,43,NA,154
182,13,NA,73
183,29,NA,112
184,32,NA,142
185,13,NA,73
186,15,NA,66
187,30,NA,123
188,25,NA,148
189,35,NA,157
190,26,NA,140
191,29,NA,169
192,23,NA,117
193,14,NA,57
194,35,NA,135
195,21,NA,183
196,23,NA,180
197,23,NA,155
198,21,NA,153
199,16,NA,97
200,13,NA,46
201,26,NA,146
202,20,NA,177
203,14,NA,143
204,15,NA,129
205,8,NA,119
206,7,NA,70
207,3,NA,38
208,7,NA,93
209,12,NA,127
210,5,NA,109
211,9,NA,112
212,4,NA,120
213,2,NA,65
214,2,NA,29
215,8,NA,37
216,6,NA,92
217,3,NA,116
218,4,NA,87
219,7,NA,100
220,3,NA,54
221,NA,NA,37
222,4,NA,89
223,NA,NA,94
224,3,NA,93
225,7,NA,93
226,5,NA,99
227,3,NA,51
228,3,NA,52
229,2,NA,87
230,3,NA,97
231,4,NA,89
232,7,NA,101
233,1,NA,118
234,NA,NA,68
235,NA,NA,42
236,3,NA,104
237,2,NA,82
238,NA,NA,97
239,2,NA,104
240,NA,NA,92
241,1,NA,78
242,5,NA,42
243,2,NA,65
244,8,NA,89
245,4,NA,124
246,2,NA,98
247,2,NA,97
248,NA,NA,79
249,1,NA,43
250,2,NA,44
251,2,NA,113
252,4,NA,125
253,4,NA,122
254,1,NA,125
255,NA,NA,60
256,1,NA,62
257,5,NA,101
258,4,NA,126
259,1,NA,123
260,1,NA,110
261,2,NA,123
262,NA,NA,75
263,1,NA,58
264,4,NA,104
265,6,NA,131
266,5,NA,157
267,7,NA,136
268,4,NA,141
269,4,NA,71
270,1,NA,68
271,9,NA,120
272,1,NA,162
273,3,NA,142
274,7,NA,136
275,13,NA,117
276,4,NA,62
277,6,NA,61
278,9,NA,111
279,15,NA,183
280,18,NA,174
281,15,NA,150
282,28,NA,187
283,14,NA,97
284,18,NA,59
285,31,NA,71
286,64,NA,178
287,93,NA,250
288,75,NA,277
289,90,NA,259
290,66,NA,189
291,94,NA,136
292,211,NA,309
293,244,NA,492
294,244,NA,488
295,262,NA,458
296,270,NA,498
297,165,NA,360
298,180,NA,273
299,424,NA,576
300,446,NA,810
301,435,NA,889
302,218,NA,750
303,80,NA,239
304,76,NA,192
305,75,NA,144
306,105,NA,200
307,118,NA,263
308,115,NA,251
309,94,NA,254
310,101,NA,225
311,56,NA,181
312,54,NA,136
313,70,NA,198
314,83,NA,238
315,61,NA,174
316,49,NA,173
317,65,NA,204
318,29,NA,121
319,27,NA,93
320,52,NA,160
321,36,NA,175
322,33,NA,135
323,17,NA,102
324,24,NA,134
325,9,NA,87
326,11,NA,64
327,11,NA,100
328,13,NA,133
329,10,NA,96
330,11,NA,96
331,9,NA,101
332,7,NA,52
333,6,NA,34
334,8,NA,87
335,10,NA,79
336,10,NA,84
337,7,NA,64
338,2,NA,60
339,1,NA,39
340,5,NA,34
341,6,NA,65
342,1,NA,66
343,6,NA,58
344,8,NA,59
345,2,NA,57
346,3,NA,42
347,1,NA,35
348,2,NA,64
349,2,NA,61
350,2,NA,52
351,4,NA,69
352,1,NA,57
353,1,NA,45
354,NA,NA,37
355,1,NA,69
356,2,NA,77
357,1,NA,54
358,NA,NA,48
359,1,NA,21
360,NA,NA,35
361,NA,NA,36
362,1,NA,25
363,2,NA,52
364,1,NA,58
365,NA,NA,41
366,NA,NA,34
367,NA,NA,38
