# Weekly cases of chicken pox in Ontario; Canada; 1924-89,,,,
# Missing data for 1970,,,,
# Note: the weekly chickenpox cases were not reported - to Statistics Canada - between 1959-1986.  Weekly chickenpox cases for Ontario were obtained from spreadsheets held by the Ontario Ministry of Health.,,,,
# When using this dataset please acknowledge the valuable help given by: Richard Trudeau (Chief of Health Statistics; Statistics Canada) who gave us access to data held by Statistics Canada; Glen Gagnon (Reference Librarian) for assistance in finding data at Statistics Canada; and Angie Fazzone who helped by finding data in the Ontario Ministry of Health archives.,,,,
year,month,day,numdate,cases
1924,1,5,1924.013699,0
1924,1,12,1924.032877,0
1924,1,19,1924.052055,0
1924,1,26,1924.071233,0
1924,2,2,1924.090411,0
1924,2,9,1924.109589,0
1924,2,16,1924.128767,0
1924,2,23,1924.147945,0
1924,3,1,1924.167123,0
1924,3,8,1924.186301,0
1924,3,15,1924.205479,0
1924,3,22,1924.224658,0
1924,3,29,1924.243836,0
1924,4,5,1924.263014,0
1924,4,12,1924.282192,0
1924,4,19,1924.30137,0
1924,4,26,1924.320548,0
1924,5,3,1924.339726,0
1924,5,10,1924.358904,0
1924,5,17,1924.378082,0
1924,5,24,1924.39726,0
1924,5,31,1924.416438,0
1924,6,7,1924.435616,0
1924,6,14,1924.454795,0
1924,6,21,1924.473973,0
1924,6,28,1924.493151,0
1924,7,5,1924.512329,56
1924,7,12,1924.531507,47
1924,7,19,1924.550685,30
1924,7,26,1924.569863,46
1924,8,2,1924.589041,52
1924,8,9,1924.608219,24
1924,8,16,1924.627397,24
1924,8,23,1924.646575,21
1924,8,30,1924.665753,17
1924,9,6,1924.684932,36
1924,9,13,1924.70411,16
1924,9,20,1924.723288,19
1924,9,27,1924.742466,25
1924,10,4,1924.761644,43
1924,10,11,1924.780822,91
1924,10,18,1924.8,123
1924,10,25,1924.819178,123
1924,11,1,1924.838356,115
1924,11,8,1924.857534,90
1924,11,15,1924.876712,442
1924,11,22,1924.89589,209
1924,11,29,1924.915068,245
1924,12,6,1924.934247,275
1924,12,13,1924.953425,282
1924,12,20,1924.972603,190
1924,12,27,1924.991781,109
1925,1,3,1925.008219,157
1925,1,10,1925.027397,247
1925,1,17,1925.046575,171
1925,1,24,1925.065753,230
1925,1,31,1925.084932,122
1925,2,7,1925.10411,159
1925,2,14,1925.123288,105
1925,2,21,1925.142466,159
1925,2,28,1925.161644,111
1925,3,7,1925.180822,130
1925,3,14,1925.2,95
1925,3,21,1925.219178,92
1925,3,28,1925.238356,62
1925,4,4,1925.257534,53
1925,4,11,1925.276712,57
1925,4,18,1925.29589,33
1925,4,25,1925.315068,62
1925,5,2,1925.334247,53
1925,5,9,1925.353425,51
1925,5,16,1925.372603,88
1925,5,23,1925.391781,52
1925,5,30,1925.410959,119
1925,6,6,1925.430137,116
1925,6,13,1925.449315,140
