# Cases of chicken pox in New York city; 1928-72,,
# Source: J. A. Yorke and W. P. London (1973) 'Recurrent outbreaks of measles; chickenpox and mumps. II. Systematic differences in contact rates and stochastic effects' American Journal of Epidemilogy 98(6): 469-482,,
# Yorke and London obtained these data from the New York City Department of Health Bureau of Infectious Disease Control and the Baltimore City Health Department.,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,
# The first publication that made use of this data file was: C. T. Bauch and D. J. D. Earn (2003) 'Transients and Attractors in Epidemics' Proceedings of the Royal Society of London Series B 270:1573-1578,,
# See the IIDDA website for a list of all papers that have used this data file.,,
year,month,cases
1928,1,757
1928,2,873
1928,3,1049
1928,4,706
1928,5,716
1928,6,558
1928,7,201
1928,8,45
1928,9,39
1928,10,293
1928,11,682
1928,12,1163
1929,1,1174
1929,2,954
1929,3,1465
1929,4,1325
1929,5,1351
1929,6,1038
1929,7,214
1929,8,66
1929,9,43
1929,10,193
1929,11,466
1929,12,975
1930,1,1034
1930,2,1002
1930,3,1179
1930,4,1129
1930,5,927
1930,6,777
1930,7,168
1930,8,46
1930,9,66
1930,10,152
1930,11,560
1930,12,861
1931,1,956
1931,2,927
1931,3,1585
1931,4,1536
1931,5,1448
1931,6,1272
1931,7,303
1931,8,68
1931,9,62
1931,10,116
1931,11,275
1931,12,565
1932,1,922
1932,2,928
1932,3,925
1932,4,1121
1932,5,1282
1932,6,1142
1932,7,411
1932,8,114
1932,9,82
1932,10,220
1932,11,646
1932,12,1069
1933,1,1320
1933,2,1473
1933,3,2305
1933,4,2094
1933,5,1694
1933,6,1043
1933,7,390
1933,8,127
1933,9,56
1933,10,148
1933,11,426
1933,12,890
1934,1,1500
1934,2,1442
1934,3,1799
1934,4,1556
1934,5,1926
1934,6,1635
1934,7,379
1934,8,90
1934,9,68
1934,10,210
1934,11,667
1934,12,905
1935,1,1124
1935,2,1192
1935,3,1850
1935,4,1941
1935,5,1505
1935,6,1016
1935,7,429
1935,8,58
1935,9,78
1935,10,251
1935,11,605
1935,12,817
1936,1,970
1936,2,860
1936,3,977
1936,4,1143
1936,5,920
1936,6,940
1936,7,426
1936,8,193
1936,9,99
1936,10,186
1936,11,525
1936,12,1085
1937,1,1220
1937,2,1157
1937,3,1974
1937,4,2301
1937,5,2277
1937,6,1746
1937,7,413
1937,8,129
1937,9,78
1937,10,160
1937,11,448
1937,12,820
1938,1,1154
1938,2,1277
1938,3,1841
1938,4,1981
1938,5,1304
1938,6,1288
1938,7,387
1938,8,114
1938,9,97
1938,10,278
1938,11,604
1938,12,787
1939,1,1010
1939,2,968
1939,3,1195
1939,4,1200
1939,5,1218
1939,6,1183
1939,7,334
1939,8,145
1939,9,66
1939,10,252
1939,11,536
1939,12,996
1940,1,1624
1940,2,1626
1940,3,1603
1940,4,1740
1940,5,1900
1940,6,1424
1940,7,711
1940,8,191
1940,9,135
1940,10,302
1940,11,612
1940,12,1178
1941,1,1409
1941,2,1218
1941,3,1543
1941,4,1477
1941,5,987
1941,6,935
1941,7,495
1941,8,126
1941,9,109
1941,10,197
1941,11,397
