# Monthly measles cases in Ontario Canada; 1904-89,,,
# We are missing monthly data for 1913; 1926; 1927; and 1970,,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,,
#The first publication that made use of this data file was: C. T. Bauch and D. J. D. Earn (2003) 'Transients and Attractors in Epidemics' Proceedings of the Royal Society of London Series B 270:1573-1578,,,
# See the IIDDA website for a list of all papers that have used this data file.,,,
year,month,numdate,cases
1904,1,1904.0750,32
1904,2,1904.1583,41
1904,3,1904.2417,39
1904,4,1904.3250,98
1904,5,1904.4083,107
1904,6,1904.4917,41
1904,7,1904.5750,15
1904,8,1904.6583,3
1904,9,1904.7417,12
1904,10,1904.8250,1
1904,11,1904.9083,12
1904,12,1904.9917,125
1905,1,1905.0750,268
1905,2,1905.1583,119
1905,3,1905.2417,154
1905,4,1905.3250,494
1905,5,1905.4083,880
1905,6,1905.4917,420
1905,7,1905.5750,90
1905,8,1905.6583,26
1905,9,1905.7417,32
1905,10,1905.8250,25
1905,11,1905.9083,28
1905,12,1905.9917,40
1906,1,1906.0750,31
1906,2,1906.1583,62
1906,3,1906.2417,115
1906,4,1906.3250,256
1906,5,1906.4083,145
1906,6,1906.4917,206
1906,7,1906.5750,68
1906,8,1906.6583,35
1906,9,1906.7417,41
1906,10,1906.8250,119
1906,11,1906.9083,226
1906,12,1906.9917,147
1907,1,1907.0750,315
1907,2,1907.1583,337
1907,3,1907.2417,327
1907,4,1907.3250,195
1907,5,1907.4083,369
1907,6,1907.4917,376
1907,7,1907.5750,60
1907,8,1907.6583,23
1907,9,1907.7417,14
1907,10,1907.8250,39
1907,11,1907.9083,332
1907,12,1907.9917,336
1908,1,1908.0750,189
1908,2,1908.1583,185
1908,3,1908.2417,80
1908,4,1908.3250,87
1908,5,1908.4083,108
1908,6,1908.4917,38
1908,7,1908.5750,15
1908,8,1908.6583,3
1908,9,1908.7417,18
1908,10,1908.8250,13
1908,11,1908.9083,13
1908,12,1908.9917,43
1909,1,1909.0750,42
1909,2,1909.1583,23
1909,3,1909.2417,19
1909,4,1909.3250,56
1909,5,1909.4083,140
1909,6,1909.4917,88
1909,7,1909.5750,45
1909,8,1909.6583,39
1909,9,1909.7417,59
1909,10,1909.8250,103
1909,11,1909.9083,132
1909,12,1909.9917,129
1910,1,1910.0750,967
1910,2,1910.1583,937
1910,3,1910.2417,570
1910,4,1910.3250,584
1910,5,1910.4083,564
1910,6,1910.4917,794
1910,7,1910.5750,248
1910,8,1910.6583,49
1910,9,1910.7417,45
1910,10,1910.8250,49
1910,11,1910.9083,65
1910,12,1910.9917,339
1911,1,1911.0750,203
1911,2,1911.1583,204
1911,3,1911.2417,369
1911,4,1911.3250,391
1911,5,1911.4083,254
1911,6,1911.4917,116
1911,7,1911.5750,129
1911,8,1911.6583,7
1911,9,1911.7417,17
1911,10,1911.8250,65
1911,11,1911.9083,108
1911,12,1911.9917,112
1912,1,1912.0750,89
1912,2,1912.1583,111
1912,3,1912.2417,300
1912,4,1912.3250,579
1912,5,1912.4083,588
1912,6,1912.4917,287
1912,7,1912.5750,106
1912,8,1912.6583,64
1912,9,1912.7417,80
1912,10,1912.8250,126
1912,11,1912.9083,91
1912,12,1912.9917,213
1913,1,1913.0750,0
1913,2,1913.1583,0
1913,3,1913.2417,0
1913,4,1913.3250,0
1913,5,1913.4083,0
1913,6,1913.4917,0
1913,7,1913.5750,0
1913,8,1913.6583,0
1913,9,1913.7417,0
1913,10,1913.8250,0
1913,11,1913.9083,0
1913,12,1913.9917,0
1914,1,1914.0750,184
1914,2,1914.1583,427
1914,3,1914.2417,682
1914,4,1914.3250,609
1914,5,1914.4083,691
1914,6,1914.4917,859
1914,7,1914.5750,422
1914,8,1914.6583,148
1914,9,1914.7417,107
1914,10,1914.8250,182
1914,11,1914.9083,201
1914,12,1914.9917,372
1915,1,1915.0750,241
1915,2,1915.1583,623
1915,3,1915.2417,972
1915,4,1915.3250,922
1915,5,1915.4083,659
1915,6,1915.4917,559
1915,7,1915.5750,496
1915,8,1915.6583,162
