# Cases of measles in New York city; 1928-63,,
# Source: J. A. Yorke and W. P. London (1973) 'Recurrent outbreaks of measles; chickenpox and mumps. II. Systematic differences in contact rates and stochastic effects' American Journal of Epidemilogy 98(6): 469-482,,
# Yorke and London obtained these data from the New York City Department of Health Bureau of Infectious Disease Control and the Baltimore City Health Department.,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,
# The first publication that made use of this data file was: D. J. D. Earn; P. Rohani; B. M. Bolker; B. T. Grenfell (2000) 'A simple model for complex dynamical transitions in epidemics' Science 287(5453): 667-670,,
# See the IIDDA website for a list of all papers that have used this data file.,,
year,month,cases
1928,1,609
1928,2,1516
1928,3,4952
1928,4,7466
1928,5,11155
1928,6,7002
1928,7,1315
1928,8,189
1928,9,74
1928,10,119
1928,11,287
1928,12,324
1929,1,288
1929,2,241
1929,3,347
1929,4,378
1929,5,498
1929,6,324
1929,7,151
1929,8,69
1929,9,44
1929,10,42
1929,11,34
1929,12,121
1930,1,316
1930,2,781
1930,3,1870
1930,4,5309
1930,5,7499
1930,6,5386
1930,7,1386
1930,8,211
1930,9,107
1930,10,128
1930,11,219
1930,12,423
1931,1,750
1931,2,2010
1931,3,4858
1931,4,6172
1931,5,7095
1931,6,4238
1931,7,907
1931,8,165
1931,9,43
1931,10,54
1931,11,93
1931,12,134
1932,1,146
1932,2,270
1932,3,621
1932,4,1096
1932,5,2271
1932,6,2537
1932,7,1081
1932,8,288
1932,9,118
1932,10,149
1932,11,594
1932,12,1183
1933,1,1960
1933,2,4699
1933,3,9635
1933,4,9573
1933,5,6605
1933,6,2697
1933,7,601
1933,8,139
1933,9,50
1933,10,55
1933,11,71
1933,12,131
1934,1,133
1934,2,168
1934,3,431
1934,4,652
1934,5,1414
1934,6,1317
1934,7,422
1934,8,95
1934,9,47
1934,10,45
1934,11,86
1934,12,205
1935,1,508
1935,2,1576
1935,3,4357
1935,4,6630
1935,5,6813
1935,6,5182
1935,7,1975
1935,8,358
1935,9,67
1935,10,136
1935,11,333
1935,12,555
1936,1,1426
1936,2,4054
1936,3,7376
1936,4,8792
1936,5,8247
1936,6,4738
1936,7,1443
1936,8,213
1936,9,87
1936,10,99
1936,11,154
1936,12,219
1937,1,235
1937,2,365
1937,3,1075
1937,4,2253
1937,5,3546
1937,6,3058
1937,7,880
1937,8,247
1937,9,84
1937,10,90
1937,11,136
1937,12,122
1938,1,519
1938,2,1585
1938,3,5743
1938,4,10018
1938,5,8634
1938,6,6253
1938,7,1231
1938,8,239
1938,9,75
1938,10,26
1938,11,110
1938,12,171
1939,1,224
1939,2,219
1939,3,361
1939,4,517
1939,5,969
1939,6,738
1939,7,274
1939,8,110
1939,9,36
1939,10,54
1939,11,60
1939,12,91
1940,1,90
1940,2,207
1940,3,268
1940,4,533
1940,5,1365
1940,6,1906
1940,7,1269
1940,8,307
1940,9,151
1940,10,354
1940,11,1050
1940,12,2996
1941,1,6336
1941,2,13226
1941,3,25826
1941,4,22741
1941,5,8195
1941,6,2527
1941,7,436
1941,8,100
1941,9,63
1941,10,67
1941,11,55
1941,12,74
1942,1,137
1942,2,169
1942,3,233
1942,4,404
1942,5,557
1942,6,387
1942,7,127
1942,8,60
1942,9,34
1942,10,45
1942,11,49
1942,12,59
1943,1,232
1943,2,877
1943,3,2174
1943,4,3855
1943,5,5724
1943,6,5760
1943,7,1759
1943,8,453
1943,9,142
1943,10,300
1943,11,676
1943,12,1675
1944,1,2567
1944,2,5242
1944,3,8498
1944,4,5458
1944,5,2779
1944,6,1151
1944,7,182
1944,8,63
1944,9,21
1944,10,26
1944,11,30
1944,12,31
1945,1,60
1945,2,82
1945,3,171
1945,4,207
1945,5,221
1945,6,358
1945,7,194
1945,8,68
1945,9,18
1945,10,79
1945,11,181
1945,12,231
1946,1,809
1946,2,2022
1946,3,5014
1946,4,6597
1946,5,4759
1946,6,2191
1946,7,596
1946,8,107
1946,9,68
1946,10,56
1946,11,75
1946,12,114
1947,1,254
1947,2,379
1947,3,669
1947,4,1141
1947,5,1682
1947,6,1613
1947,7,854
1947,8,202
1947,9,88
1947,10,174
1947,11,234
1947,12,625
1948,1,1709
1948,2,3319
1948,3,6807
1948,4,6909
1948,5,5481
1948,6,3548
1948,7,802
1948,8,159
1948,9,64
1948,10,32
1948,11,47
1948,12,83
1949,1,169
1949,2,390
1949,3,629
1949,4,693
1949,5,1008
1949,6,960
1949,7,454
1949,8,234
1949,9,133
1949,10,100
1949,11,214
1949,12,483
1950,1,1055
1950,2,1930
1950,3,3776
1950,4,4777
1950,5,5428
1950,6,3440
1950,7,1012
1950,8,232
1950,9,73
1950,10,89
1950,11,90
1950,12,88
1951,1,282
1951,2,381
1951,3,549
1951,4,1079
1951,5,1915
1951,6,1770
1951,7,948
1951,8,380
1951,9,184
1951,10,246
1951,11,515
1951,12,1360
1952,1,3707
1952,2,6441
1952,3,8616
1952,4,7754
1952,5,4945
1952,6,2288
1952,7,478
1952,8,75
1952,9,40
1952,10,68
1952,11,57
1952,12,146
1953,1,224
1953,2,246
1953,3,334
1953,4,518
1953,5,645
1953,6,600
1953,7,522
1953,8,215
1953,9,164
1953,10,209
1953,11,318
1953,12,1122
1954,1,2443
1954,2,4876
1954,3,10154
1954,4,10720
1954,5,6136
1954,6,4699
1954,7,1335
1954,8,249
1954,9,63
1954,10,59
1954,11,115
1954,12,188
1955,1,364
1955,2,603
1955,3,1305
1955,4,1853
1955,5,1865
1955,6,1797
1955,7,760
1955,8,245
1955,9,103
1955,10,98
1955,11,242
1955,12,477
1956,1,594
1956,2,1242
1956,3,2461
1956,4,4336
1956,5,6064
1956,6,4247
1956,7,1419
1956,8,441
1956,9,110
1956,10,169
1956,11,188
1956,12,375
1957,1,823
1957,2,789
1957,3,949
1957,4,1287
1957,5,1949
1957,6,1840
1957,7,845
1957,8,335
1957,9,176
1957,10,170
1957,11,231
1957,12,832
1958,1,1878
1958,2,3544
1958,3,6410
1958,4,7634
1958,5,4832
1958,6,2594
1958,7,893
1958,8,204
1958,9,86
1958,10,58
1958,11,47
1958,12,92
1959,1,199
1959,2,323
1959,3,537
1959,4,683
1959,5,716
1959,6,753
1959,7,567
1959,8,174
1959,9,144
1959,10,97
1959,11,187
1959,12,837
1960,1,2070
1960,2,4097
1960,3,6780
1960,4,6492
1960,5,3387
1960,6,1822
1960,7,469
1960,8,129
1960,9,51
1960,10,43
1960,11,78
1960,12,105
1961,1,227
1961,2,298
1961,3,374
1961,4,384
1961,5,644
1961,6,683
1961,7,343
1961,8,185
1961,9,109
1961,10,123
1961,11,383
1961,12,1043
1962,1,1725
1962,2,3056
1962,3,5839
1962,4,7875
1962,5,6555
1962,6,2866
1962,7,1075
1962,8,266
1962,9,58
1962,10,86
1962,11,125
1962,12,145
1963,1,184
1963,2,260
1963,3,476
1963,4,782
1963,5,1200
1963,6,1289
1963,7,901
1963,8,362
1963,9,168
1963,10,221
1963,11,423
1963,12,1140
1964,1,2053
1964,2,2267
1964,3,2859
1964,4,3338
1964,5,2578
1964,6,1486
1964,7,427
1964,8,120
1964,9,49
1964,10,59
1964,11,50
1964,12,149
1965,1,120
1965,2,126
1965,3,150
1965,4,354
1965,5,419
1965,6,656
1965,7,331
1965,8,174
1965,9,83
1965,10,120
1965,11,395
1965,12,1199
1966,1,1635
1966,2,1965
1966,3,2349
1966,4,1253
1966,5,655
