# Cases of mumps in New York city; 1928-72,,
# Source: J. A. Yorke and W. P. London (1973) 'Recurrent outbreaks of measles; chickenpox and mumps. II. Systematic differences in contact rates and stochastic effects' American Journal of Epidemilogy 98(6): 469-482,,
# Yorke and London obtained these data from the New York City Department of Health Bureau of Infectious Disease Control and the Baltimore City Health Department.,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,
# See the IIDDA website for a list of all papers that have used this data file.,,
year,month,cases
1928,1,124
1928,2,132
1928,3,193
1928,4,144
1928,5,195
1928,6,105
1928,7,40
1928,8,20
1928,9,42
1928,10,58
1928,11,170
1928,12,197
1929,1,329
1929,2,417
1929,3,968
1929,4,989
1929,5,1264
1929,6,1074
1929,7,352
1929,8,118
1929,9,69
1929,10,91
1929,11,182
1929,12,233
1930,1,406
1930,2,550
1930,3,853
1930,4,835
1930,5,787
1930,6,518
1930,7,132
1930,8,66
1930,9,57
1930,10,77
1930,11,83
1930,12,138
1931,1,116
1931,2,177
1931,3,288
1931,4,299
1931,5,315
1931,6,329
1931,7,143
1931,8,50
1931,9,59
1931,10,74
1931,11,110
1931,12,180
1932,1,361
1932,2,556
1932,3,687
1932,4,821
1932,5,799
1932,6,901
1932,7,478
1932,8,212
1932,9,153
1932,10,207
1932,11,386
1932,12,576
1933,1,807
1933,2,923
1933,3,1604
1933,4,1475
1933,5,1123
1933,6,662
1933,7,253
1933,8,116
1933,9,70
1933,10,107
1933,11,147
1933,12,155
1934,1,266
1934,2,249
1934,3,406
1934,4,452
1934,5,547
1934,6,472
1934,7,213
1934,8,136
1934,9,114
1934,10,137
1934,11,276
1934,12,341
1935,1,688
1935,2,935
1935,3,1850
1935,4,1938
1935,5,1806
1935,6,1030
1935,7,472
1935,8,151
1935,9,123
1935,10,133
1935,11,195
1935,12,255
1936,1,357
1936,2,386
1936,3,543
1936,4,645
1936,5,668
1936,6,659
1936,7,276
1936,8,142
1936,9,93
1936,10,82
1936,11,122
1936,12,225
1937,1,315
1937,2,360
1937,3,777
1937,4,1070
1937,5,1115
1937,6,1200
1937,7,550
1937,8,279
1937,9,154
1937,10,170
1937,11,290
1937,12,488
1938,1,764
1938,2,990
1938,3,1695
1938,4,1738
1938,5,1295
1938,6,1026
1938,7,345
1938,8,178
1938,9,85
1938,10,115
1938,11,122
1938,12,179
1939,1,266
1939,2,326
1939,3,454
1939,4,510
1939,5,555
1939,6,531
1939,7,358
1939,8,177
1939,9,131
1939,10,189
1939,11,262
1939,12,398
1940,1,662
1940,2,733
1940,3,941
1940,4,1229
1940,5,1485
1940,6,1406
1940,7,959
1940,8,436
1940,9,233
1940,10,221
1940,11,391
1940,12,696
1941,1,930
1941,2,899
1941,3,1261
1941,4,1245
1941,5,847
1941,6,626
1941,7,348
1941,8,168
1941,9,132
1941,10,142
1941,11,201
1941,12,399
1942,1,569
1942,2,651
1942,3,1024
1942,4,1272
1942,5,1258
1942,6,960
1942,7,445
1942,8,201
1942,9,138
1942,10,117
1942,11,162
1942,12,272
1943,1,395
1943,2,552
1943,3,926
1943,4,1062
1943,5,1070
1943,6,846
1943,7,355
1943,8,172
1943,9,109
1943,10,94
1943,11,184
1943,12,245
1944,1,324
1944,2,433
1944,3,752
1944,4,845
1944,5,859
1944,6,671
1944,7,275
1944,8,134
1944,9,75
1944,10,104
1944,11,161
1944,12,237
