# Weekly rubella cases in Ontario Canada; 1924-89,,,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,,,
# The first publication that made use of this data file was: C. T. Bauch and D. J. D. Earn (2003) 'Transients and Attractors in Epidemics' Proceedings of the Royal Society of London Series B 270:1573-1578,,,,
# See the IIDDA website for a list of all papers that have used this data file.,,,,
year,month,day,numdate,cases
1924,1,5,1924.0137,0
1924,1,12,1924.0329,0
1924,1,19,1924.0521,0
1924,1,26,1924.0712,0
1924,2,2,1924.0904,0
1924,2,9,1924.1096,0
1924,2,16,1924.1288,0
1924,2,23,1924.1479,0
1924,3,1,1924.1671,0
1924,3,8,1924.1863,0
1924,3,15,1924.2055,0
1924,3,22,1924.2247,0
1924,3,29,1924.2438,0
1924,4,5,1924.2630,0
1924,4,12,1924.2822,0
1924,4,19,1924.3014,0
1924,4,26,1924.3205,0
1924,5,3,1924.3397,0
1924,5,10,1924.3589,0
1924,5,17,1924.3781,0
1924,5,24,1924.3973,0
1924,5,31,1924.4164,0
1924,6,7,1924.4356,0
1924,6,14,1924.4548,0
1924,6,21,1924.4740,0
1924,6,28,1924.4932,0
1924,7,5,1924.5123,5
1924,7,12,1924.5315,13
1924,7,19,1924.5507,6
1924,7,26,1924.5699,4
1924,8,2,1924.5890,3
1924,8,9,1924.6082,0
1924,8,16,1924.6274,0
1924,8,23,1924.6466,2
1924,8,30,1924.6658,4
1924,9,6,1924.6849,0
1924,9,13,1924.7041,0
1924,9,20,1924.7233,6
1924,9,27,1924.7425,0
1924,10,4,1924.7616,0
1924,10,11,1924.7808,1
1924,10,18,1924.8000,0
1924,10,25,1924.8192,5
1924,11,1,1924.8384,0
1924,11,8,1924.8575,20
1924,11,15,1924.8767,7
1924,11,22,1924.8959,9
1924,11,29,1924.9151,5
1924,12,6,1924.9342,1
1924,12,13,1924.9534,0
1924,12,20,1924.9726,6
1924,12,27,1924.9918,3
1925,1,3,1925.0082,5
1925,1,10,1925.0274,8
1925,1,17,1925.0466,3
1925,1,24,1925.0658,4
1925,1,31,1925.0849,5
1925,2,7,1925.1041,11
1925,2,14,1925.1233,6
1925,2,21,1925.1425,1
1925,2,28,1925.1616,1
1925,3,7,1925.1808,14
1925,3,14,1925.2000,13
1925,3,21,1925.2192,2
1925,3,28,1925.2384,3
1925,4,4,1925.2575,6
1925,4,11,1925.2767,3
1925,4,18,1925.2959,2
1925,4,25,1925.3151,7
1925,5,2,1925.3342,6
1925,5,9,1925.3534,3
1925,5,16,1925.3726,1
1925,5,23,1925.3918,0
1925,5,30,1925.4110,11
1925,6,6,1925.4301,7
1925,6,13,1925.4493,10
1925,6,20,1925.4685,1
1925,6,27,1925.4877,5
1925,7,4,1925.5068,4
1925,7,11,1925.5260,2
1925,7,18,1925.5452,1
1925,7,25,1925.5644,4
1925,8,1,1925.5836,1
1925,8,8,1925.6027,0
1925,8,15,1925.6219,2
1925,8,22,1925.6411,0
1925,8,29,1925.6603,1
1925,9,5,1925.6795,0
1925,9,12,1925.6986,1
1925,9,19,1925.7178,0
1925,9,26,1925.7370,1
1925,10,3,1925.7562,0
1925,10,10,1925.7753,3
1925,10,17,1925.7945,0
1925,10,24,1925.8137,1
1925,10,31,1925.8329,2
1925,11,7,1925.8521,0
1925,11,14,1925.8712,2
1925,11,21,1925.8904,2
1925,11,28,1925.9096,1
1925,12,5,1925.9288,11
1925,12,12,1925.9479,1
1925,12,19,1925.9671,5
1925,12,26,1925.9863,12
1926,1,2,1926.0055,1
1926,1,9,1926.0247,0
1926,1,16,1926.0438,21
1926,1,23,1926.0630,13
1926,1,30,1926.0822,28
1926,2,6,1926.1014,32
1926,2,13,1926.1205,176
1926,2,20,1926.1397,9
1926,2,27,1926.1589,294
1926,3,6,1926.1781,0
1926,3,13,1926.1973,15
1926,3,20,1926.2164,515
1926,3,27,1926.2356,413
1926,4,3,1926.2548,8
1926,4,10,1926.2740,101
1926,4,17,1926.2932,92
1926,4,24,1926.3123,160
1926,5,1,1926.3315,232
1926,5,8,1926.3507,116
1926,5,15,1926.3699,147
1926,5,22,1926.3890,93
1926,5,29,1926.4082,102
1926,6,5,1926.4274,164
1926,6,12,1926.4466,163
1926,6,19,1926.4658,67
1926,6,26,1926.4849,39
1926,7,3,1926.5041,56
1926,7,10,1926.5233,25
1926,7,17,1926.5425,30
1926,7,24,1926.5616,11
1926,7,31,1926.5808,28
1926,8,7,1926.6000,8
1926,8,14,1926.6192,12
1926,8,21,1926.6384,2
1926,8,28,1926.6575,2
1926,9,4,1926.6767,1
1926,9,11,1926.6959,3
1926,9,18,1926.7151,2
1926,9,25,1926.7342,1
1926,10,2,1926.7534,1
1926,10,9,1926.7726,2
1926,10,16,1926.7918,3
1926,10,23,1926.8110,0
1926,10,30,1926.8301,1
1926,11,6,1926.8493,0
1926,11,13,1926.8685,4
1926,11,20,1926.8877,9
1926,11,27,1926.9068,6
1926,12,4,1926.9260,0
1926,12,11,1926.9452,8
1926,12,18,1926.9644,8
1926,12,25,1926.9836,3
1927,1,1,1927.0027,1
1927,1,8,1927.0219,1
1927,1,15,1927.0411,0
1927,1,22,1927.0603,27
1927,1,29,1927.0795,120
1927,2,5,1927.0986,51
1927,2,12,1927.1178,102
1927,2,19,1927.1370,180
1927,2,26,1927.1562,274
1927,3,5,1927.1753,170
1927,3,12,1927.1945,241
1927,3,19,1927.2137,118
1927,3,26,1927.2329,353
1927,4,2,1927.2521,176
1927,4,9,1927.2712,57
1927,4,16,1927.2904,204
1927,4,23,1927.3096,197
1927,4,30,1927.3288,280
1927,5,7,1927.3479,289
1927,5,14,1927.3671,158
1927,5,21,1927.3863,278
1927,5,28,1927.4055,129
1927,6,4,1927.4247,179
1927,6,11,1927.4438,179
1927,6,18,1927.4630,114
1927,6,25,1927.4822,134
1927,7,2,1927.5014,36
1927,7,9,1927.5205,42
1927,7,16,1927.5397,11
1927,7,23,1927.5589,18
1927,7,30,1927.5781,19
1927,8,6,1927.5973,12
1927,8,13,1927.6164,5
1927,8,20,1927.6356,4
1927,8,27,1927.6548,0
1927,9,3,1927.6740,4
1927,9,10,1927.6932,3
1927,9,17,1927.7123,2
1927,9,24,1927.7315,1
1927,10,1,1927.7507,5
1927,10,8,1927.7699,2
1927,10,15,1927.7890,2
1927,10,22,1927.8082,3
1927,10,29,1927.8274,1
1927,11,5,1927.8466,6
1927,11,12,1927.8658,3
1927,11,19,1927.8849,3
1927,11,26,1927.9041,2
1927,12,3,1927.9233,2
1927,12,10,1927.9425,10
1927,12,17,1927.9616,1
1927,12,24,1927.9808,1
1927,12,31,1928.0000,2
1928,1,7,1928.0192,7
1928,1,14,1928.0384,9
1928,1,21,1928.0575,2
1928,1,28,1928.0767,15
1928,2,4,1928.0959,8
1928,2,11,1928.1151,8
1928,2,18,1928.1342,16
1928,2,25,1928.1534,9
1928,3,3,1928.1726,7
1928,3,10,1928.1918,12
1928,3,17,1928.2110,9
1928,3,24,1928.2301,11
1928,3,31,1928.2493,3
1928,4,7,1928.2685,6
1928,4,14,1928.2877,3
1928,4,21,1928.3068,18
1928,4,28,1928.3260,5
1928,5,5,1928.3452,3
1928,5,12,1928.3644,6
1928,5,19,1928.3836,6
1928,5,26,1928.4027,7
1928,6,2,1928.4219,3
1928,6,9,1928.4411,3
1928,6,16,1928.4603,4
1928,6,23,1928.4795,2
1928,6,30,1928.4986,3
1928,7,7,1928.5178,0
1928,7,14,1928.5370,3
1928,7,21,1928.5562,1
1928,7,28,1928.5753,0
1928,8,4,1928.5945,0
1928,8,11,1928.6137,0
1928,8,18,1928.6329,0
1928,8,25,1928.6521,0
1928,9,1,1928.6712,0
1928,9,8,1928.6904,0
1928,9,15,1928.7096,1
1928,9,22,1928.7288,1
1928,9,29,1928.7479,1
1928,10,6,1928.7671,3
1928,10,13,1928.7863,2
1928,10,20,1928.8055,2
1928,10,27,1928.8247,1
1928,11,3,1928.8438,3
1928,11,10,1928.8630,3
1928,11,17,1928.8822,4
1928,11,24,1928.9014,5
1928,12,1,1928.9205,8
1928,12,8,1928.9397,5
1928,12,15,1928.9589,12
1928,12,22,1928.9781,1
1928,12,29,1928.9973,1
1929,1,5,1929.0137,0
1929,1,12,1929.0329,3
1929,1,19,1929.0521,7
1929,1,26,1929.0712,9
1929,2,2,1929.0904,7
1929,2,9,1929.1096,9
1929,2,16,1929.1288,9
1929,2,23,1929.1479,1
1929,3,2,1929.1671,7
1929,3,9,1929.1863,3
1929,3,16,1929.2055,6
1929,3,23,1929.2247,4
1929,3,30,1929.2438,2
1929,4,6,1929.2630,2
1929,4,13,1929.2822,4
1929,4,20,1929.3014,4
1929,4,27,1929.3205,8
1929,5,4,1929.3397,8
1929,5,11,1929.3589,17
1929,5,18,1929.3781,5
1929,5,25,1929.3973,3
1929,6,1,1929.4164,8
1929,6,8,1929.4356,6
1929,6,15,1929.4548,4
1929,6,22,1929.4740,16
1929,6,29,1929.4932,2
1929,7,6,1929.5123,3
1929,7,13,1929.5315,0
1929,7,20,1929.5507,0
1929,7,27,1929.5699,2
1929,8,3,1929.5890,1
1929,8,10,1929.6082,0
1929,8,17,1929.6274,1
1929,8,24,1929.6466,0
1929,8,31,1929.6658,0
1929,9,7,1929.6849,0
1929,9,14,1929.7041,2
1929,9,21,1929.7233,0
1929,9,28,1929.7425,0
1929,10,5,1929.7616,0
1929,10,12,1929.7808,2
1929,10,19,1929.8000,0
1929,10,26,1929.8192,2
1929,11,2,1929.8384,5
1929,11,9,1929.8575,13
1929,11,16,1929.8767,16
1929,11,23,1929.8959,13
1929,11,30,1929.9151,19
1929,12,7,1929.9342,13
1929,12,14,1929.9534,28
1929,12,21,1929.9726,14
1929,12,28,1929.9918,18
1930,1,4,1930.0110,49
1930,1,11,1930.0301,47
1930,1,18,1930.0493,29
1930,1,25,1930.0685,52
1930,2,1,1930.0877,65
1930,2,8,1930.1068,63
1930,2,15,1930.1260,63
1930,2,22,1930.1452,97
1930,3,1,1930.1644,104
1930,3,8,1930.1836,66
1930,3,15,1930.2027,166
1930,3,22,1930.2219,151
1930,3,29,1930.2411,134
1930,4,5,1930.2603,260
1930,4,12,1930.2795,194
1930,4,19,1930.2986,168
1930,4,26,1930.3178,169
1930,5,3,1930.3370,199
1930,5,10,1930.3562,281
1930,5,17,1930.3753,105
1930,5,24,1930.3945,255
1930,5,31,1930.4137,154
1930,6,7,1930.4329,141
1930,6,14,1930.4521,136
1930,6,21,1930.4712,98
1930,6,28,1930.4904,54
1930,7,5,1930.5096,15
1930,7,12,1930.5288,22
1930,7,19,1930.5479,5
1930,7,26,1930.5671,5
1930,8,2,1930.5863,3
1930,8,9,1930.6055,10
1930,8,16,1930.6247,0
1930,8,23,1930.6438,0
1930,8,30,1930.6630,1
1930,9,6,1930.6822,1
1930,9,13,1930.7014,3
1930,9,20,1930.7205,1
1930,9,27,1930.7397,0
1930,10,4,1930.7589,1
1930,10,11,1930.7781,1
1930,10,18,1930.7973,1
1930,10,25,1930.8164,4
1930,11,1,1930.8356,3
1930,11,8,1930.8548,3
1930,11,15,1930.8740,7
1930,11,22,1930.8932,11
1930,11,29,1930.9123,7
1930,12,6,1930.9315,8
1930,12,13,1930.9507,8
1930,12,20,1930.9699,9
1930,12,27,1930.9890,1
1931,1,3,1931.0082,10
1931,1,10,1931.0274,22
1931,1,17,1931.0466,10
1931,1,24,1931.0658,14
1931,1,31,1931.0849,18
1931,2,7,1931.1041,8
1931,2,14,1931.1233,11
1931,2,21,1931.1425,7
1931,2,28,1931.1616,8
1931,3,7,1931.1808,9
1931,3,14,1931.2000,9
1931,3,21,1931.2192,28
1931,3,28,1931.2384,21
1931,4,4,1931.2575,3
1931,4,11,1931.2767,14
1931,4,18,1931.2959,26
1931,4,25,1931.3151,24
1931,5,2,1931.3342,21
1931,5,9,1931.3534,22
1931,5,16,1931.3726,58
1931,5,23,1931.3918,62
1931,5,30,1931.4110,32
1931,6,6,1931.4301,39
1931,6,13,1931.4493,29
1931,6,20,1931.4685,18
1931,6,27,1931.4877,10
1931,7,4,1931.5068,5
1931,7,11,1931.5260,1
1931,7,18,1931.5452,10
1931,7,25,1931.5644,1
1931,8,1,1931.5836,0
1931,8,8,1931.6027,16
1931,8,15,1931.6219,3
1931,8,22,1931.6411,0
1931,8,29,1931.6603,1
1931,9,5,1931.6795,2
1931,9,12,1931.6986,3
1931,9,19,1931.7178,6
1931,9,26,1931.7370,1
1931,10,3,1931.7562,8
1931,10,10,1931.7753,5
1931,10,17,1931.7945,0
1931,10,24,1931.8137,5
1931,10,31,1931.8329,3
1931,11,7,1931.8521,3
1931,11,14,1931.8712,2
1931,11,21,1931.8904,2
1931,11,28,1931.9096,2
1931,12,5,1931.9288,2
1931,12,12,1931.9479,7
1931,12,19,1931.9671,7
1931,12,26,1931.9863,7
1932,1,2,1932.0055,6
1932,1,9,1932.0247,23
1932,1,16,1932.0438,7
1932,1,23,1932.0630,5
1932,1,30,1932.0822,15
1932,2,6,1932.1014,7
1932,2,13,1932.1205,26
1932,2,20,1932.1397,4
1932,2,27,1932.1589,7
1932,3,5,1932.1781,10
1932,3,12,1932.1973,11
1932,3,19,1932.2164,9
1932,3,26,1932.2356,5
1932,4,2,1932.2548,16
1932,4,9,1932.2740,5
1932,4,16,1932.2932,11
1932,4,23,1932.3123,2
1932,4,30,1932.3315,3
1932,5,7,1932.3507,2
1932,5,14,1932.3699,3
1932,5,21,1932.3890,59
1932,5,28,1932.4082,11
1932,6,4,1932.4274,4
1932,6,11,1932.4466,3
1932,6,18,1932.4658,7
1932,6,25,1932.4849,1
1932,7,2,1932.5041,3
1932,7,9,1932.5233,12
1932,7,16,1932.5425,0
1932,7,23,1932.5616,0
1932,7,30,1932.5808,0
1932,8,6,1932.6000,3
1932,8,13,1932.6192,0
1932,8,20,1932.6384,3
1932,8,27,1932.6575,0
1932,9,3,1932.6767,0
1932,9,10,1932.6959,2
1932,9,17,1932.7151,2
1932,9,24,1932.7342,2
1932,10,1,1932.7534,0
1932,10,8,1932.7726,1
1932,10,15,1932.7918,2
1932,10,22,1932.8110,0
1932,10,29,1932.8301,1
1932,11,5,1932.8493,4
1932,11,12,1932.8685,3
1932,11,19,1932.8877,11
1932,11,26,1932.9068,5
1932,12,3,1932.9260,0
1932,12,10,1932.9452,3
1932,12,17,1932.9644,3
1932,12,24,1932.9836,1
1932,12,31,1933.0027,18
1933,1,7,1933.0192,4
1933,1,14,1933.0384,2
1933,1,21,1933.0575,5
1933,1,28,1933.0767,1
1933,2,4,1933.0959,1
1933,2,11,1933.1151,0
1933,2,18,1933.1342,4
1933,2,25,1933.1534,3
1933,3,4,1933.1726,1
1933,3,11,1933.1918,1
1933,3,18,1933.2110,1
1933,3,25,1933.2301,6
1933,4,1,1933.2493,8
1933,4,8,1933.2685,12
1933,4,15,1933.2877,9
1933,4,22,1933.3068,24
1933,4,29,1933.3260,23
1933,5,6,1933.3452,14
1933,5,13,1933.3644,12
1933,5,20,1933.3836,9
1933,5,27,1933.4027,10
1933,6,3,1933.4219,1
1933,6,10,1933.4411,3
1933,6,17,1933.4603,12
1933,6,24,1933.4795,6
1933,7,1,1933.4986,4
1933,7,8,1933.5178,2
1933,7,15,1933.5370,2
1933,7,22,1933.5562,0
1933,7,29,1933.5753,0
1933,8,5,1933.5945,0
1933,8,12,1933.6137,0
1933,8,19,1933.6329,1
1933,8,26,1933.6521,1
