# Rubella cases in Ontario Canada; 1929-89,,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,,
# The first publication that made use of this data file was: C. T. Bauch and D. J. D. Earn (2003) 'Transients and Attractors in Epidemics' Proceedings of the Royal Society of London Series B 270:1573-1578,,,
# See the IIDDA website for a list of all papers that have used this data file.,,,
# year,month,numdate,cases
1929,1,1929.0750,19
1929,2,1929.1583,26
1929,3,1929.2417,22
1929,4,1929.3250,18
1929,5,1929.4083,33
1929,6,1929.4917,36
1929,7,1929.5750,7
1929,8,1929.6583,2
1929,9,1929.7417,2
1929,10,1929.8250,4
1929,11,1929.9083,66
1929,12,1929.9917,73
1930,1,1930.0750,177
1930,2,1930.1583,288
1930,3,1930.2417,621
1930,4,1930.3250,791
1930,5,1930.4083,994
1930,6,1930.4917,429
1930,7,1930.5750,47
1930,8,1930.6583,14
1930,9,1930.7417,5
1930,10,1930.8250,7
1930,11,1930.9083,31
1930,12,1930.9917,26
1931,1,1931.0750,74
1931,2,1931.1583,34
1931,3,1931.2417,67
1931,4,1931.3250,67
1931,5,1931.4083,195
1931,6,1931.4917,96
1931,7,1931.5750,17
1931,8,1931.6583,20
1931,9,1931.7417,12
1931,10,1931.8250,21
1931,11,1931.9083,9
1931,12,1931.9917,23
1932,1,1932.0750,56
1932,2,1932.1583,44
1932,3,1932.2417,35
1932,4,1932.3250,37
1932,5,1932.4083,75
1932,6,1932.4917,15
1932,7,1932.5750,16
1932,8,1932.6583,6
1932,9,1932.7417,6
1932,10,1932.8250,4
1932,11,1932.9083,23
1932,12,1932.9917,25
1933,1,1933.0750,12
1933,2,1933.1583,8
1933,3,1933.2417,9
1933,4,1933.3250,76
1933,5,1933.4083,45
1933,6,1933.4917,22
1933,7,1933.5750,8
1933,8,1933.6583,2
1933,9,1933.7417,6
1933,10,1933.8250,2
1933,11,1933.9083,14
1933,12,1933.9917,7
1934,1,1934.0750,12
1934,2,1934.1583,17
1934,3,1934.2417,24
1934,4,1934.3250,10
1934,5,1934.4083,16
1934,6,1934.4917,10
1934,7,1934.5750,7
1934,8,1934.6583,7
1934,9,1934.7417,11
1934,10,1934.8250,54
1934,11,1934.9083,77
1934,12,1934.9917,105
1935,1,1935.0750,292
1935,2,1935.1583,1221
1935,3,1935.2417,4492
1935,4,1935.3250,3142
1935,5,1935.4083,3388
1935,6,1935.4917,5714
1935,7,1935.5750,1112
1935,8,1935.6583,140
1935,9,1935.7417,30
1935,10,1935.8250,87
1935,11,1935.9083,391
1935,12,1935.9917,618
1936,1,1936.0750,1598
1936,2,1936.1583,4513
1936,3,1936.2417,10116
1936,4,1936.3250,5633
1936,5,1936.4083,5466
1936,6,1936.4917,1442
1936,7,1936.5750,372
1936,8,1936.6583,35
1936,9,1936.7417,46
1936,10,1936.8250,36
1936,11,1936.9083,33
1936,12,1936.9917,31
1937,1,1937.0750,127
1937,2,1937.1583,125
1937,3,1937.2417,113
1937,4,1937.3250,79
1937,5,1937.4083,152
1937,6,1937.4917,125
1937,7,1937.5750,55
1937,8,1937.6583,15
1937,9,1937.7417,17
1937,10,1937.8250,54
1937,11,1937.9083,24
1937,12,1937.9917,17
1938,1,1938.0750,127
1938,2,1938.1583,125
1938,3,1938.2417,113
1938,4,1938.3250,79
1938,5,1938.4083,152
1938,6,1938.4917,125
1938,7,1938.5750,55
1938,8,1938.6583,15
1938,9,1938.7417,17
1938,10,1938.8250,54
1938,11,1938.9083,24
1938,12,1938.9917,17
1939,1,1939.0750,85
1939,2,1939.1583,126
1939,3,1939.2417,151
1939,4,1939.3250,93
1939,5,1939.4083,139
1939,6,1939.4917,284
1939,7,1939.5750,118
1939,8,1939.6583,28
1939,9,1939.7417,29
1939,10,1939.8250,22
1939,11,1939.9083,32
1939,12,1939.9917,53
1940,1,1940.0750,68
1940,2,1940.1583,65
1940,3,1940.2417,179
1940,4,1940.3250,110
1940,5,1940.4083,146
1940,6,1940.4917,93
1940,7,1940.5750,43
1940,8,1940.6583,32
1940,9,1940.7417,25
1940,10,1940.8250,17
1940,11,1940.9083,457
1940,12,1940.9917,838
1941,1,1941.0750,2354
1941,2,1941.1583,5418
1941,3,1941.2417,10394
