# Cases of whooping cough in Ontario Canada; 1904-89,,,
# We are missing monthly data for 1913; and 1978-81.,,,
# Weeks missing: december 1974 whooping cough data for third and fourth week; instead we added the entires for the first and second week and took that as the total number of cases for december (underestimated of course),,,
# Used in paper 'Bauch and Earn 2003' and since that time has been updated to fill in some holes in the dataset,,,
# 1970 filled by data provided by Angie Fazzone who helped by finding data in the Ontario Ministry of Health archives,,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,,
# The first publication that made use of this data file was: C. T. Bauch and D. J. D. Earn (2003) 'Transients and Attractors in Epidemics' Proceedings of the Royal Society of London Series B 270:1573-1578,,,
# See the IIDDA website for a list of all papers that have used this data file.,,,
year,month,numdate,cases
1904,1,1904.0750,18
1904,2,1904.1583,16
1904,3,1904.2417,6
1904,4,1904.3250,26
1904,5,1904.4083,4
1904,6,1904.4917,46
1904,7,1904.5750,25
1904,8,1904.6583,19
1904,9,1904.7417,31
1904,10,1904.8250,20
1904,11,1904.9083,23
1904,12,1904.9917,45
1905,1,1905.0750,27
1905,2,1905.1583,22
1905,3,1905.2417,54
1905,4,1905.3250,45
1905,5,1905.4083,89
1905,6,1905.4917,40
1905,7,1905.5750,80
1905,8,1905.6583,141
1905,9,1905.7417,97
1905,10,1905.8250,36
1905,11,1905.9083,85
1905,12,1905.9917,35
1906,1,1906.0750,76
1906,2,1906.1583,143
1906,3,1906.2417,68
1906,4,1906.3250,92
1906,5,1906.4083,205
1906,6,1906.4917,105
1906,7,1906.5750,55
1906,8,1906.6583,119
1906,9,1906.7417,96
1906,10,1906.8250,83
1906,11,1906.9083,21
1906,12,1906.9917,13
1907,1,1907.0750,133
1907,2,1907.1583,34
1907,3,1907.2417,87
1907,4,1907.3250,27
1907,5,1907.4083,49
1907,6,1907.4917,78
1907,7,1907.5750,104
1907,8,1907.6583,77
1907,9,1907.7417,79
1907,10,1907.8250,56
1907,11,1907.9083,34
1907,12,1907.9917,37
1908,1,1908.0750,73
1908,2,1908.1583,30
1908,3,1908.2417,54
1908,4,1908.3250,27
1908,5,1908.4083,28
1908,6,1908.4917,57
1908,7,1908.5750,40
1908,8,1908.6583,96
1908,9,1908.7417,135
1908,10,1908.8250,51
1908,11,1908.9083,87
1908,12,1908.9917,76
1909,1,1909.0750,83
1909,2,1909.1583,125
1909,3,1909.2417,48
1909,4,1909.3250,74
1909,5,1909.4083,68
1909,6,1909.4917,29
1909,7,1909.5750,46
1909,8,1909.6583,73
1909,9,1909.7417,47
1909,10,1909.8250,62
1909,11,1909.9083,27
1909,12,1909.9917,50
1910,1,1910.0750,45
1910,2,1910.1583,72
1910,3,1910.2417,24
1910,4,1910.3250,119
1910,5,1910.4083,39
1910,6,1910.4917,53
1910,7,1910.5750,25
1910,8,1910.6583,20
1910,9,1910.7417,14
1910,10,1910.8250,11
1910,11,1910.9083,23
1910,12,1910.9917,28
1911,1,1911.0750,20
1911,2,1911.1583,19
1911,3,1911.2417,22
1911,4,1911.3250,25
1911,5,1911.4083,42
1911,6,1911.4917,29
1911,7,1911.5750,35
1911,8,1911.6583,40
1911,9,1911.7417,31
1911,10,1911.8250,35
1911,11,1911.9083,28
1911,12,1911.9917,5
1912,1,1912.0750,110
1912,2,1912.1583,44
1912,3,1912.2417,183
1912,4,1912.3250,110
1912,5,1912.4083,94
1912,6,1912.4917,193
1912,7,1912.5750,42
1912,8,1912.6583,348
1912,9,1912.7417,109
1912,10,1912.8250,34
1912,11,1912.9083,44
1912,12,1912.9917,103
1913,1,1913.0750,0
1913,2,1913.1583,0
1913,3,1913.2417,0
1913,4,1913.3250,0
1913,5,1913.4083,0
1913,6,1913.4917,0
1913,7,1913.5750,0
1913,8,1913.6583,0
1913,9,1913.7417,0
1913,10,1913.8250,0
1913,11,1913.9083,0
1913,12,1913.9917,0
1914,1,1914.0750,89
1914,2,1914.1583,63
1914,3,1914.2417,47
1914,4,1914.3250,180
1914,5,1914.4083,96
1914,6,1914.4917,108
1914,7,1914.5750,34
1914,8,1914.6583,52
1914,9,1914.7417,34
1914,10,1914.8250,20
1914,11,1914.9083,42
1914,12,1914.9917,33
1915,1,1915.0750,20
1915,2,1915.1583,67
1915,3,1915.2417,60
1915,4,1915.3250,80
1915,5,1915.4083,39
1915,6,1915.4917,65
1915,7,1915.5750,133
1915,8,1915.6583,104
1915,9,1915.7417,104
1915,10,1915.8250,61
1915,11,1915.9083,38
1915,12,1915.9917,111
1916,1,1916.0750,136
1916,2,1916.1583,268
1916,3,1916.2417,283
1916,4,1916.3250,140
1916,5,1916.4083,160
1916,6,1916.4917,135
1916,7,1916.5750,179
1916,8,1916.6583,190
1916,9,1916.7417,181
1916,10,1916.8250,253
1916,11,1916.9083,91
1916,12,1916.9917,189
1917,1,1917.0750,165
1917,2,1917.1583,94
1917,3,1917.2417,112
1917,4,1917.3250,76
1917,5,1917.4083,88
1917,6,1917.4917,56
1917,7,1917.5750,101
1917,8,1917.6583,209
1917,9,1917.7417,172
1917,10,1917.8250,98
1917,11,1917.9083,142
1917,12,1917.9917,357
1918,1,1918.0750,367
1918,2,1918.1583,168
1918,3,1918.2417,286
1918,4,1918.3250,240
1918,5,1918.4083,251
1918,6,1918.4917,277
1918,7,1918.5750,169
1918,8,1918.6583,246
1918,9,1918.7417,179
1918,10,1918.8250,72
1918,11,1918.9083,60
1918,12,1918.9917,57
1919,1,1919.0750,56
1919,2,1919.1583,41
1919,3,1919.2417,69
1919,4,1919.3250,48
1919,5,1919.4083,46
1919,6,1919.4917,63
1919,7,1919.5750,80
1919,8,1919.6583,112
1919,9,1919.7417,141
1919,10,1919.8250,166
1919,11,1919.9083,127
1919,12,1919.9917,214
1920,1,1920.0750,162
1920,2,1920.1583,168
1920,3,1920.2417,136
1920,4,1920.3250,135
1920,5,1920.4083,99
1920,6,1920.4917,151
1920,7,1920.5750,106
1920,8,1920.6583,178
1920,9,1920.7417,177
1920,10,1920.8250,218
1920,11,1920.9083,177
1920,12,1920.9917,335
1921,1,1921.0750,396
1921,2,1921.1583,257
